"ID","New","site"
"BETPOP06_GR","BETPOP_13","GR"
"BETPOP08_WM","BETPOP_14","WM"
"BETPOP06_GR","BETPOP_15","GR"
"BETPOP05_HF","BETPOP_16","HF"
"BETPOP06_GR","BETPOP_17","GR"
"BETPOP07_WM","BETPOP_18","WM"
"BETPOP06_GR","BETPOP_19","GR"
"BETPOP06_GR","BETPOP_20","GR"
"BETPOP04_HF","BETPOP_21","HF"
"BETPOP04_HF","BETPOP_22","HF"
"BETPOP01_HF","BETPOP_23","HF"
"BETPOP06_GR","BETPOP_24","GR"
"CORCOR06_WM","CORCOR_01","WM"
"CORCOR06_WM","CORCOR_02","WM"
"CORCOR05_WM","CORCOR_03","WM"
"PRUPEN08_SH","PRUPEN_01","SH"
"PRUPEN05_SH","PRUPEN_02","SH"
"PRUPEN08_SH","PRUPEN_03","SH"
"PRUPEN05_SH","PRUPEN_04","SH"
"PRUPEN12_SH","PRUPEN_05","SH"
"PRUPEN08_SH","PRUPEN_06","SH"
"PRUPEN08_SH","PRUPEN_07","SH"
"PRUPEN11_GR","PRUPEN_08","GR"
"PRUPEN08_SH","PRUPEN_09","SH"
"PRUPEN12_SH","PRUPEN_10","SH"
"PRUPEN02_SH","PRUPEN_11","SH"
"PRUPEN08_SH","PRUPEN_12","SH"
"PRUPEN02_WM","PRUPEN_13","WM"
"PRUPEN03_WM","PRUPEN_14","WM"
"PRUPEN08_SH","PRUPEN_15","SH"
"VIBCAS10_GR","VIBCAS_01","GR"
"VIBCAS01_SH","VIBCAS_02","SH"
"VIBCAS05_SH","VIBCAS_03","SH"
"VIBCAS10_GR","VIBCAS_04","GR"
"VIBCAS07_WM","VIBCAS_05","WM"
"VIBCAS03_GR","VIBCAS_06","GR"
"VIBCAS09_SH","VIBCAS_07","SH"
"VIBCAS08_WM","VIBCAS_08","WM"
"VIBCAS01_SH","VIBCAS_09","SH"
"VIBCAS07_WM","VIBCAS_10","WM"
"VIBCAS07_WM","VIBCAS_11","WM"
"VIBCAS07_WM","VIBCAS_12","WM"
"VIBCAS08_WM","VIBCAS_13","WM"
"VIBCAS01_SH","VIBCAS_14","SH"
"VIBCAS01_SH","VIBCAS_15","SH"
"VIBCAS01_SH","VIBCAS_16","SH"
"VIBCAS03_GR","VIBCAS_17","GR"
"VIBCAS10_GR","VIBCAS_18","GR"
"VIBCAS08_WM","VIBCAS_19","WM"
"VIBCAS01_SH","VIBCAS_20","SH"
"VIBCAS03_GR","VIBCAS_21","GR"
"VIBCAS05_SH","VIBCAS_22","SH"
"VIBCAS12_GR","VIBCAS_23","GR"
"VIBCAS12_GR","VIBCAS_24","GR"
"VIBCAS10_GR","VIBCAS_25","GR"
"VIBCAS03_GR","VIBCAS_26","GR"
"VIBCAS07_WM","VIBCAS_27","WM"
"VIBCAS10_GR","VIBCAS_28","GR"
"VIBCAS09_WM","VIBCAS_29","WM"
"VIBCAS08_WM","VIBCAS_30","WM"
"VIBCAS09_SH","VIBCAS_31","SH"
"VIBCAS01_SH","VIBCAS_32","SH"
"VIBCAS08_WM","VIBCAS_33","WM"
"VIBCAS03_GR","VIBCAS_34","GR"
"VIBCAS01_SH","VIBCAS_35","SH"
"VIBCAS09_WM","VIBCAS_36","WM"
