Dataset_ID,ObservedBy_Person_ID,Partner_Group,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Plant_Nickname,Patch,Phenophase_ID,Phenophase_Category,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No,NumYs_in_Series,NumDays_in_Series,Observed_Status_Conflict_Flag
'-9999','1070',-9999,974,Lower Vine Brook at North Street,42.466019,-71.212372,51,MA,62,Alnus,incana,gray alder,Plantae,64440,gray alder-2,467,Leaves,Increasing leaf size,2014,5,2,122,2456780,7,2014,5,15,135,2456793,-9999,3,0,-9999
'-9999','1070',-9999,974,Lower Vine Brook at North Street,42.466019,-71.212372,51,MA,62,Alnus,incana,gray alder,Plantae,37271,gray alder-1,483,Leaves,Leaves,2014,5,2,122,2456780,7,2014,5,15,135,2456793,-9999,3,0,-9999
'-9999','1070',-9999,974,Lower Vine Brook at North Street,42.466019,-71.212372,51,MA,62,Alnus,incana,gray alder,Plantae,64440,gray alder-2,483,Leaves,Leaves,2014,5,2,122,2456780,7,2014,5,15,135,2456793,-9999,3,0,-9999
'-9999','1473',-9999,1327,my NE side yard,42.546036,-71.3545,87,MA,61,Acer,saccharum,sugar maple,Plantae,25361,sugar maple-1,371,Leaves,Breaking leaf buds,2014,5,5,125,2456783,3,2014,5,8,128,2456786,3,2,0,-9999
'-9999','1473',-9999,1327,my NE side yard,42.546036,-71.3545,87,MA,61,Acer,saccharum,sugar maple,Plantae,25361,sugar maple-1,467,Leaves,Increasing leaf size,2014,5,11,131,2456789,3,2014,5,30,150,2456808,9,5,0,-9999
'-9999','1473',-9999,1327,my NE side yard,42.546036,-71.3545,87,MA,61,Acer,saccharum,sugar maple,Plantae,25361,sugar maple-1,471,Leaves,Falling leaves,2014,10,25,298,2456956,6,2014,11,20,324,2456982,5,8,0,-9999
'-9999','1473',-9999,1327,my NE side yard,42.546036,-71.3545,87,MA,61,Acer,saccharum,sugar maple,Plantae,25361,sugar maple-1,483,Leaves,Leaves,2014,5,11,131,2456789,3,2014,11,12,316,2456974,8,30,0,-9999
'-9999','1473',-9999,1327,my NE side yard,42.546036,-71.3545,87,MA,61,Acer,saccharum,sugar maple,Plantae,25361,sugar maple-1,498,Leaves,Colored leaves,2014,10,2,275,2456933,8,2014,11,12,316,2456974,8,13,0,-9999
'-9999','1745',-9999,1581,Cove Marsh,42.088829,-70.936188,24,MA,61,Acer,saccharum,sugar maple,Plantae,5038,sugar maple,471,Leaves,Falling leaves,2014,10,20,293,2456951,-9999,2014,10,20,293,2456951,-9999,1,0,-9999
'-9999','1745',-9999,1581,Cove Marsh,42.088829,-70.936188,24,MA,61,Acer,saccharum,sugar maple,Plantae,5038,sugar maple,498,Leaves,Colored leaves,2014,10,20,293,2456951,-9999,2014,10,20,293,2456951,-9999,1,0,-9999
"'3,-9999'","'19707,20137,19824,19710,20291,19764,19720'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,371,Leaves,Breaking leaf buds,2014,4,14,104,2456762,2,2014,5,1,121,2456779,3,8,0,MultiObserver-StatusConflict
"'-9999,3'","'19824,20137,19710,20291'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,371,Leaves,Breaking leaf buds,2014,4,17,107,2456765,3,2014,4,26,116,2456774,1,5,1,-9999
'-9999',"'19824,20137,19764'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,371,Leaves,Breaking leaf buds,2014,5,1,121,2456779,4,2014,5,4,124,2456782,2,2,1,MultiObserver-StatusConflict
"'-9999,3'","'19824,20137,20291,19720'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,371,Leaves,Breaking leaf buds,2014,4,24,114,2456772,2,2014,5,4,124,2456782,2,5,0,MultiObserver-StatusConflict
"'-9999,3'","'19764,20291,19720,19707,20137,19824'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,467,Leaves,Increasing leaf size,2014,5,4,124,2456782,3,2014,5,15,135,2456793,3,4,1,MultiObserver-StatusConflict
"'-9999,3'","'20137,19824,20795'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,467,Leaves,Increasing leaf size,2014,5,29,149,2456807,4,2014,5,31,151,2456809,1,2,1,MultiObserver-StatusConflict
'3','20291',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,467,Leaves,Increasing leaf size,2014,6,7,158,2456816,3,2014,6,7,158,2456816,4,1,1,-9999
'3','20291',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,467,Leaves,Increasing leaf size,2014,6,21,172,2456830,3,2014,6,21,172,2456830,21,1,1,-9999
'3','19720',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,467,Leaves,Increasing leaf size,2014,8,10,222,2456880,8,2014,8,10,222,2456880,6,1,1,MultiObserver-StatusConflict
'-9999','19709',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,467,Leaves,Increasing leaf size,2014,9,4,247,2456905,19,2014,9,4,247,2456905,2,1,1,-9999
"'-9999,3'","'19764,19720,20291,19707,20137,19824'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,467,Leaves,Increasing leaf size,2014,5,4,124,2456782,3,2014,5,15,135,2456793,3,4,1,MultiObserver-StatusConflict
"'-9999,3'","'20137,19824,20795'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,467,Leaves,Increasing leaf size,2014,5,29,149,2456807,4,2014,5,31,151,2456809,1,2,1,MultiObserver-StatusConflict
'3','20291',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,467,Leaves,Increasing leaf size,2014,6,7,158,2456816,3,2014,6,7,158,2456816,4,1,1,-9999
'3','20291',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,467,Leaves,Increasing leaf size,2014,6,21,172,2456830,3,2014,6,21,172,2456830,21,1,1,-9999
'-9999','19709',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,467,Leaves,Increasing leaf size,2014,9,4,247,2456905,19,2014,9,4,247,2456905,2,1,1,-9999
"'-9999,3'","'19764,20291,19720,19707,20137,19824'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,467,Leaves,Increasing leaf size,2014,5,4,124,2456782,3,2014,5,15,135,2456793,3,4,1,MultiObserver-StatusConflict
"'-9999,3'","'20137,19824,20795'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,467,Leaves,Increasing leaf size,2014,5,29,149,2456807,7,2014,5,31,151,2456809,4,2,1,MultiObserver-StatusConflict
'3','19720',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,467,Leaves,Increasing leaf size,2014,6,7,158,2456816,3,2014,6,7,158,2456816,4,1,1,-9999
'3','20291',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,467,Leaves,Increasing leaf size,2014,6,21,172,2456830,3,2014,6,21,172,2456830,21,1,1,-9999
"'-9999,3'","'23987,19710,20291,19720,19824,20137'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,471,Leaves,Falling leaves,2014,10,16,289,2456947,14,2014,11,16,320,2456978,6,8,0,MultiObserver-StatusConflict
"'-9999,3'","'23987,19824,19710,19720,20291'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,471,Leaves,Falling leaves,2014,10,2,275,2456933,6,2014,10,30,303,2456961,9,5,0,-9999
'3','19720',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,471,Leaves,Falling leaves,2014,10,25,298,2456956,7,2014,10,25,298,2456956,5,1,0,-9999
"'-9999,3'","'20137,19764,20291,19720,19824,19707'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,483,Leaves,Leaves,2014,4,26,116,2456774,2,2014,5,14,134,2456792,1,6,1,MultiObserver-StatusConflict
"'-9999,3'","'19764,20137,19824,20795,20291,19720'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,483,Leaves,Leaves,2014,5,25,145,2456803,3,2014,6,11,162,2456820,7,7,1,MultiObserver-StatusConflict
'3',"'20291,19720'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,483,Leaves,Leaves,2014,6,21,172,2456830,3,2014,8,16,228,2456886,19,7,1,-9999
'3',"'20291,19720'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,483,Leaves,Leaves,2014,9,6,249,2456907,2,2014,9,26,269,2456927,6,3,1,-9999
'3',"'20291,19720'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,483,Leaves,Leaves,2014,10,18,291,2456949,2,2014,10,25,298,2456956,5,2,1,-9999
'3','20291',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,483,Leaves,Leaves,2014,11,9,313,2456971,1,2014,11,9,313,2456971,4,1,1,-9999
'3','20291',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,483,Leaves,Leaves,2014,11,16,320,2456978,3,2014,11,16,320,2456978,6,1,1,-9999
"'-9999,3'","'19824,20137,19764,19720,20291,19707'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,483,Leaves,Leaves,2014,5,1,121,2456779,4,2014,5,14,134,2456792,1,4,1,-9999
"'-9999,3'","'19764,20137,19824,20795,20291,19720'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,483,Leaves,Leaves,2014,5,25,145,2456803,3,2014,6,11,162,2456820,7,7,1,MultiObserver-StatusConflict
'3',"'20291,19720'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,483,Leaves,Leaves,2014,6,21,172,2456830,3,2014,8,16,228,2456886,19,7,1,-9999
'3',"'19720,20291'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,483,Leaves,Leaves,2014,9,6,249,2456907,2,2014,9,26,269,2456927,6,3,1,-9999
'3',"'19720,20291'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,483,Leaves,Leaves,2014,10,18,291,2456949,2,2014,10,25,298,2456956,5,2,1,-9999
'-9999','20137',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,483,Leaves,Leaves,2014,4,26,116,2456774,2,2014,4,26,116,2456774,1,1,1,-9999
"'-9999,3'","'20137,19824,19764,20291,19720,19707'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,483,Leaves,Leaves,2014,5,1,121,2456779,4,2014,5,14,134,2456792,1,4,1,MultiObserver-StatusConflict
"'-9999,3'","'20137,19824,20795,20291,19720,19764'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,483,Leaves,Leaves,2014,5,29,149,2456807,7,2014,6,11,162,2456820,7,6,1,MultiObserver-StatusConflict
"'3,-9999'","'20291,19720,19764'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,483,Leaves,Leaves,2014,6,21,172,2456830,3,2014,9,26,269,2456927,6,10,1,-9999
'3',"'19720,20291'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,483,Leaves,Leaves,2014,10,18,291,2456949,2,2014,10,25,298,2456956,5,2,1,-9999
"'-9999,3'","'23987,19824,19710,20291,19720,20137'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66518,164 sugar maple,498,Leaves,Colored leaves,2014,10,2,275,2456933,6,2014,11,16,320,2456978,6,9,0,MultiObserver-StatusConflict
"'3,-9999'","'19720,20291,23987,19824,19710'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66522,108 sugar maple,498,Leaves,Colored leaves,2014,9,26,269,2456927,5,2014,10,30,303,2456961,9,6,0,-9999
"'-9999,3'","'19710,19824,23987,19720,20291'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,61,Acer,saccharum,sugar maple,Plantae,66523,104 sugar maple,498,Leaves,Colored leaves,2014,10,2,275,2456933,6,2014,10,30,303,2456961,10,5,0,MultiObserver-StatusConflict
"'-9999,3'","'19824,20137,19710,20291,19764,19720'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,123 American Beech,371,Leaves,Breaking leaf buds,2014,4,17,107,2456765,3,2014,5,4,124,2456782,2,8,0,MultiObserver-StatusConflict
'3','20291',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4267,110 American beech,371,Leaves,Breaking leaf buds,2014,4,18,108,2456766,1,2014,4,18,108,2456766,4,1,1,-9999
'-9999',"'19824,20137,19764'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4267,110 American beech,371,Leaves,Breaking leaf buds,2014,5,1,121,2456779,4,2014,5,4,124,2456782,2,2,1,-9999
'-9999','22914',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4330,41 Beech,371,Leaves,Breaking leaf buds,2014,4,23,113,2456771,5,2014,4,23,113,2456771,5,1,1,-9999
'-9999','2002',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4330,41 Beech,371,Leaves,Breaking leaf buds,2014,5,2,122,2456780,4,2014,5,2,122,2456780,5,1,1,MultiObserver-StatusConflict
'-9999','2002',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4330,41 Beech,371,Leaves,Breaking leaf buds,2014,5,15,135,2456793,7,2014,5,15,135,2456793,7,1,1,MultiObserver-StatusConflict
'-9999','2002',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4362,84 beech,371,Leaves,Breaking leaf buds,2014,4,23,113,2456771,1,2014,4,23,113,2456771,5,1,1,MultiObserver-StatusConflict
'-9999','22914',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4362,84 beech,371,Leaves,Breaking leaf buds,2014,5,2,122,2456780,4,2014,5,2,122,2456780,2,1,1,-9999
'-9999','2002',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4362,84 beech,371,Leaves,Breaking leaf buds,2014,5,15,135,2456793,2,2014,5,15,135,2456793,1,1,1,MultiObserver-StatusConflict
"'-9999,3'","'19764,20291,19720,19707,20137'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,123 American Beech,467,Leaves,Increasing leaf size,2014,5,4,124,2456782,3,2014,5,14,134,2456792,1,3,1,MultiObserver-StatusConflict
"'-9999,3'","'20137,19824,20291'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,123 American Beech,467,Leaves,Increasing leaf size,2014,5,29,149,2456807,4,2014,5,31,151,2456809,1,2,1,MultiObserver-StatusConflict
'3','19720',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,123 American Beech,467,Leaves,Increasing leaf size,2014,6,7,158,2456816,3,2014,6,7,158,2456816,4,1,1,MultiObserver-StatusConflict
'3','20291',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,123 American Beech,467,Leaves,Increasing leaf size,2014,6,21,172,2456830,3,2014,6,21,172,2456830,21,1,1,-9999
'3','19720',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,123 American Beech,467,Leaves,Increasing leaf size,2014,8,10,222,2456880,8,2014,8,10,222,2456880,6,1,1,MultiObserver-StatusConflict
'-9999','19709',New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,3210,123 American Beech,467,Leaves,Increasing leaf size,2014,9,4,247,2456905,19,2014,9,4,247,2456905,2,1,1,-9999
"'3,-9999'","'19707,20137,19824'",New York Botanical Garden Forest Phenology,1668,Spicebush Trail,40.866283,-73.875717,21,NY,79,Fagus,grandifolia,American beech,Plantae,4267,110 American beech,467,Leaves,Increasing leaf size,2014,5,6,126,2456784,2,2014,5,15,135,2456793,3,3,1,-9999
